category,ci95_high,ci95_low,family,intervention_id,mean,mean_delta_IGD,median,n,problem,state,std,task_id,tolerance
mutation,0.04173773170760429,0.01193806936542975,ZDT,mutation_prob_03,0.027010030121472788,-0.030353041181477795,0.026526667884153067,10,ZDT3,positive,0.025553326319682303,ZDT3_n20_m2,0.01
mutation,0.039819397246266174,0.010530787051254046,ZDT,mutation_prob_04,0.02488464738116257,-0.03409378007729905,0.02552709531917053,10,ZDT3,positive,0.02515974598510243,ZDT3_n20_m2,0.01
mutation,0.019000797564819174,-0.011843098690384956,ZDT,mutation_prob_05,0.0023781681039808976,0.002874377203921604,-0.0009954525517325051,10,ZDT3,neutral,0.026854072275025568,ZDT3_n20_m2,0.01
mutation,0.04629364909486203,0.010875982654137908,ZDT,mutation_eta_01,0.028905552054851364,-0.04660699820507842,0.03428163953290212,10,ZDT3,positive,0.029833170728103726,ZDT3_n20_m2,0.01
mutation,0.045348566290450226,0.01691894987823939,ZDT,mutation_eta_02,0.03145553970528718,-0.03942602623431926,0.03141245952540908,10,ZDT3,positive,0.024706283163680738,ZDT3_n20_m2,0.01
mutation,0.036795104004188305,-0.0037836985528620095,ZDT,mutation_eta_03,0.01876105926027422,-0.0172189734395592,0.018834501077338146,10,ZDT3,neutral,0.03477315124325099,ZDT3_n20_m2,0.01
mutation,-0.015910660319507726,-0.05464500391740667,ZDT,mutation_eta_04,-0.0343158204417001,0.026714939424969563,-0.032403710495648025,10,ZDT3,negative,0.03353835891779756,ZDT3_n20_m2,0.01
mutation,-0.02272308223169322,-0.0798146269995875,ZDT,mutation_eta_05,-0.05293400896847413,0.033158955398272336,-0.05386666450910625,10,ZDT3,negative,0.04933987385406758,ZDT3_n20_m2,0.01
crossover,-0.0393511024135067,-0.10120111525716742,ZDT,crossover_prob_01,-0.06911028368857794,0.13813717244262153,-0.045790064002978165,10,ZDT3,negative,0.054395335391439426,ZDT3_n20_m2,0.01
crossover,0.005010710005377971,-0.0333500770232528,ZDT,crossover_prob_02,-0.014116962405948435,0.041757699959243035,-0.016338245322055727,10,ZDT3,neutral,0.03334478807950494,ZDT3_n20_m2,0.01
crossover,0.02524561111231597,-0.02450431323906373,ZDT,crossover_prob_03,0.001032750789088992,0.0005663993979117945,0.005635386977877176,10,ZDT3,neutral,0.04429542460060982,ZDT3_n20_m2,0.01
crossover,0.04563585948614412,0.02156962381181223,ZDT,crossover_eta_01,0.03308417313258306,-0.044123495100095174,0.028154071437902585,10,ZDT3,positive,0.0205519783093276,ZDT3_n20_m2,0.01
crossover,0.02709943072479319,-0.010380127028563458,ZDT,crossover_eta_02,0.008500291966833811,-0.020418916310127808,0.010779071656534165,10,ZDT3,neutral,0.03213031705532333,ZDT3_n20_m2,0.01
crossover,0.02493151757032232,-0.01536658605500264,ZDT,crossover_eta_03,0.004969193568105651,-0.014542373748623267,0.01341180855095543,10,ZDT3,neutral,0.034100880486471884,ZDT3_n20_m2,0.01
crossover,0.01326400707623479,-0.024875187233589443,ZDT,crossover_eta_04,-0.0034701723011738143,0.008247263659562123,0.007384476389770004,10,ZDT3,neutral,0.032401844234579646,ZDT3_n20_m2,0.01
selection,0.025336238998685506,-0.015326653762419342,ZDT,selection_tournament_01,0.007488833999093554,0.005954869432563485,0.012768487218056953,10,ZDT3,neutral,0.03458651231815224,ZDT3_n20_m2,0.01
