baseline_HV_unit,baseline_IGD,baseline_normalized_HV,baseline_raw_HV,baseline_status,category,config_hash,delta_HV_unit,delta_normalized_HV,family,function_evaluations_equal,intervention_HV_unit,intervention_IGD,intervention_id,intervention_normalized_HV,intervention_raw_HV,intervention_status,problem,seed,source_matrix,task_id
0.6367085590283216,0.13399661689502987,0.7704173564242692,0.7704173564242692,ok,mutation,e975cec92cdd56f3,0.06383023740598365,0.07723458726124022,ZDT,True,0.7005387964343052,0.016117936221706496,mutation_prob_04,0.8476519436855094,0.8476519436855094,ok,ZDT1,3,phase1_5B_10seed,ZDT1_n10_m2
0.6951283769768659,0.020465105518142006,0.8411053361420079,0.8411053361420079,ok,mutation,e975cec92cdd56f3,-0.005198527718729426,-0.0062902185396626065,ZDT,True,0.6899298492581365,0.023386077159927375,mutation_prob_04,0.8348151176023453,0.8348151176023453,ok,ZDT1,4,phase1_5B_10seed,ZDT1_n10_m2
0.6502922430361348,0.10944548604773369,0.7868536140737232,0.7868536140737232,ok,mutation,e975cec92cdd56f3,0.047270708842550205,0.05719755769948576,ZDT,True,0.697562951878685,0.017841142306426507,mutation_prob_04,0.844051171773209,0.844051171773209,ok,ZDT1,5,phase1_5B_10seed,ZDT1_n10_m2
0.6997539770108653,0.016317894498908726,0.8467023121831471,0.8467023121831471,ok,mutation,e975cec92cdd56f3,-0.00013020581502702687,-0.00015754903618270255,ZDT,True,0.6996237711958382,0.018037944168402292,mutation_prob_04,0.8465447631469644,0.8465447631469644,ok,ZDT1,6,phase1_5B_10seed,ZDT1_n10_m2
0.6420136533185172,0.12573389856211456,0.776836520515406,0.776836520515406,ok,mutation,e975cec92cdd56f3,0.05796569382668521,0.07013848953028912,ZDT,True,0.6999793471452025,0.018698807655297793,mutation_prob_04,0.8469750100456951,0.8469750100456951,ok,ZDT1,7,phase1_5B_10seed,ZDT1_n10_m2
0.6975342849875682,0.019367026410246967,0.8440164848349576,0.8440164848349576,ok,mutation,e975cec92cdd56f3,0.0018926431017886585,0.0022900981531642772,ZDT,True,0.6994269280893568,0.018248758171685645,mutation_prob_04,0.8463065829881219,0.8463065829881219,ok,ZDT1,8,phase1_5B_10seed,ZDT1_n10_m2
0.690059504230738,0.023031252498993897,0.8349720001191931,0.8349720001191931,ok,mutation,e975cec92cdd56f3,0.013795214904253077,0.016692210034146227,ZDT,True,0.7038547191349911,0.014066212781546178,mutation_prob_04,0.8516642101533394,0.8516642101533394,ok,ZDT1,9,phase1_5B_10seed,ZDT1_n10_m2
0.6973412200173806,0.018147046903729497,0.8437828762210307,0.8437828762210307,ok,mutation,3b9917d0b61158a5,-0.009509389857662788,-0.011506361727771974,ZDT,True,0.6878318301597178,0.02718169604812544,mutation_prob_05,0.8322765144932587,0.8322765144932587,ok,ZDT1,0,phase1_5B_10seed,ZDT1_n10_m2
0.7044421669398637,0.013974908870728806,0.8523750219972352,0.8523750219972352,ok,mutation,3b9917d0b61158a5,-0.010136295597638543,-0.012264917673142639,ZDT,True,0.6943058713422252,0.021994143424732694,mutation_prob_05,0.8401101043240926,0.8401101043240926,ok,ZDT1,1,phase1_5B_10seed,ZDT1_n10_m2
0.7025973192106282,0.01495878461039073,0.8501427562448602,0.8501427562448602,ok,mutation,3b9917d0b61158a5,-0.00664475598401561,-0.008040154740658889,ZDT,True,0.6959525632266126,0.019656484846210687,mutation_prob_05,0.8421026015042014,0.8421026015042014,ok,ZDT1,2,phase1_5B_10seed,ZDT1_n10_m2
0.6367085590283216,0.13399661689502987,0.7704173564242692,0.7704173564242692,ok,mutation,3b9917d0b61158a5,0.0550028082668255,0.06655339800285887,ZDT,True,0.691711367295147,0.02252384067269687,mutation_prob_05,0.8369707544271281,0.8369707544271281,ok,ZDT1,3,phase1_5B_10seed,ZDT1_n10_m2
0.6951283769768659,0.020465105518142006,0.8411053361420079,0.8411053361420079,ok,mutation,3b9917d0b61158a5,-0.01016363712500807,-0.012298000921259766,ZDT,True,0.6849647398518578,0.028287123397597515,mutation_prob_05,0.8288073352207481,0.8288073352207481,ok,ZDT1,4,phase1_5B_10seed,ZDT1_n10_m2
0.6502922430361348,0.10944548604773369,0.7868536140737232,0.7868536140737232,ok,mutation,3b9917d0b61158a5,0.03950903055381541,0.04780592697011665,ZDT,True,0.6898012735899502,0.024653033738000783,mutation_prob_05,0.8346595410438399,0.8346595410438399,ok,ZDT1,5,phase1_5B_10seed,ZDT1_n10_m2
0.6997539770108653,0.016317894498908726,0.8467023121831471,0.8467023121831471,ok,mutation,3b9917d0b61158a5,-0.022046264564381777,-0.026675980122901954,ZDT,True,0.6777077124464834,0.03844248169173818,mutation_prob_05,0.8200263320602451,0.8200263320602451,ok,ZDT1,6,phase1_5B_10seed,ZDT1_n10_m2
0.6420136533185172,0.12573389856211456,0.776836520515406,0.776836520515406,ok,mutation,3b9917d0b61158a5,0.05036286769606589,0.06093906991223974,ZDT,True,0.6923765210145831,0.021033971769665292,mutation_prob_05,0.8377755904276457,0.8377755904276457,ok,ZDT1,7,phase1_5B_10seed,ZDT1_n10_m2
0.6975342849875682,0.019367026410246967,0.8440164848349576,0.8440164848349576,ok,mutation,3b9917d0b61158a5,-0.001250165347396954,-0.0015127000703503146,ZDT,True,0.6962841196401712,0.020245335516414643,mutation_prob_05,0.8425037847646073,0.8425037847646073,ok,ZDT1,8,phase1_5B_10seed,ZDT1_n10_m2
0.690059504230738,0.023031252498993897,0.8349720001191931,0.8349720001191931,ok,mutation,3b9917d0b61158a5,0.005838986526997532,0.007065173697667015,ZDT,True,0.6958984907577356,0.01947495985955817,mutation_prob_05,0.8420371738168602,0.8420371738168602,ok,ZDT1,9,phase1_5B_10seed,ZDT1_n10_m2
