baseline_hv,baseline_igd,config_hash,delta_hv,function_evaluations_equal,intervention_hv,intervention_id,intervention_igd,seed,task_id
0.0,85.98389760116807,e9a3fb1d9cee,0.0,True,0.0,mutation_prob_02,85.98389760116807,2,ZDT4_n10_m2
0.0,76.91115556627763,24a9f06cc6b8,0.0,True,0.0,mutation_prob_03,85.76231451874,0,ZDT4_n10_m2
0.0,75.18552127852624,24a9f06cc6b8,0.0,True,0.0,mutation_prob_03,81.33809944969012,1,ZDT4_n10_m2
0.0,85.98389760116807,24a9f06cc6b8,0.0,True,0.0,mutation_prob_03,49.6226722738709,2,ZDT4_n10_m2
0.0,76.91115556627763,042108b3c258,0.0,True,0.0,mutation_prob_04,70.55375458611076,0,ZDT4_n10_m2
0.0,75.18552127852624,042108b3c258,0.0,True,0.0,mutation_prob_04,57.10441794898053,1,ZDT4_n10_m2
0.0,85.98389760116807,042108b3c258,0.0,True,0.0,mutation_prob_04,58.158945423433785,2,ZDT4_n10_m2
0.0,76.91115556627763,2c0a6c4a610c,0.0,True,0.0,mutation_prob_05,90.76458418869481,0,ZDT4_n10_m2
0.0,75.18552127852624,2c0a6c4a610c,0.0,True,0.0,mutation_prob_05,76.39079857824312,1,ZDT4_n10_m2
0.0,85.98389760116807,2c0a6c4a610c,0.0,True,0.0,mutation_prob_05,65.42157464625262,2,ZDT4_n10_m2
0.0,76.91115556627763,cc475d352fc4,0.0,True,0.0,mutation_eta_01,78.34986365294873,0,ZDT4_n10_m2
0.0,75.18552127852624,cc475d352fc4,0.0,True,0.0,mutation_eta_01,67.78034766097218,1,ZDT4_n10_m2
0.0,85.98389760116807,cc475d352fc4,0.0,True,0.0,mutation_eta_01,86.90247489297617,2,ZDT4_n10_m2
0.0,76.91115556627763,4b99371b4224,0.0,True,0.0,mutation_eta_02,68.53864067192958,0,ZDT4_n10_m2
0.0,75.18552127852624,4b99371b4224,0.0,True,0.0,mutation_eta_02,75.1418274963399,1,ZDT4_n10_m2
0.0,85.98389760116807,4b99371b4224,0.0,True,0.0,mutation_eta_02,58.8847085408474,2,ZDT4_n10_m2
0.0,76.91115556627763,e7246f66c637,0.0,True,0.0,mutation_eta_03,76.91115556627763,0,ZDT4_n10_m2
0.0,75.18552127852624,e7246f66c637,0.0,True,0.0,mutation_eta_03,75.18552127852624,1,ZDT4_n10_m2
0.0,85.98389760116807,e7246f66c637,0.0,True,0.0,mutation_eta_03,85.98389760116807,2,ZDT4_n10_m2
0.0,6.027611490114145,48be39a39bbf,0.0,True,0.0,mutation_prob_01,6.027611490114145,0,ZDT6_n20_m2
0.0,5.823827026217508,48be39a39bbf,0.0,True,0.0,mutation_prob_01,5.823827026217508,1,ZDT6_n20_m2
0.0,5.848644144098178,48be39a39bbf,0.0,True,0.0,mutation_prob_01,5.848644144098178,2,ZDT6_n20_m2
0.0,6.027611490114145,bada0dff1c68,0.0,True,0.0,mutation_prob_02,5.926603402926882,0,ZDT6_n20_m2
0.0,5.823827026217508,bada0dff1c68,0.0,True,0.0,mutation_prob_02,5.981234337566951,1,ZDT6_n20_m2
0.0,5.848644144098178,bada0dff1c68,0.0,True,0.0,mutation_prob_02,6.319843750125007,2,ZDT6_n20_m2
